Subject,Gender,Education05,Income87,Job05,Income05,Weight05,HeightFeet05,HeightInch05,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,FamilyIncome78,Science,Arith,Word,Parag,Number,Coding,Auto,Math,Mechanic,Elec,AFQT,Esteem81_1,Esteem81_2,Esteem81_3,Esteem81_4,Esteem81_5,Esteem81_6,Esteem81_7,Esteem81_8,Esteem81_9,Esteem81_10,Esteem87_1,Esteem87_2,Esteem87_3,Esteem87_4,Esteem87_5,Esteem87_6,Esteem87_7,Esteem87_8,Esteem87_9,Esteem87_10
908,male,16,11000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",37000,175,6,0,1,1,1,12,12,20000,22,22,31,14,34,46,16,19,20,15,82.465,1,1,4,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
909,female,15,7000,5000 TO 5930: Office and Administrative Support Workers,31330,125,5,3,1,1,1,12,12,20000,16,13,27,12,36,56,12,17,13,8,61.363,2,2,3,2,3,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3
912,female,16,5000,2200 TO 2340: Teachers,34000,145,5,5,1,1,1,12,10,19000,23,29,34,13,48,70,20,24,15,14,91.404,2,2,4,1,4,2,2,3,3,4,1,1,4,1,4,1,1,3,3,4
914,female,12,24000,"10 TO 430: Executive, Administrative and Managerial Occupations",71500,150,5,9,1,1,1,10,12,37000,18,21,35,12,47,50,16,17,10,9,75.363,1,1,4,1,4,1,2,4,3,4,1,1,4,1,3,2,2,4,2,3
915,female,14,15000,"10 TO 430: Executive, Administrative and Managerial Occupations",57000,165,5,7,1,1,1,10,8,37000,21,28,33,13,39,51,10,22,12,9,92.122,1,1,4,2,4,1,2,4,3,4,1,2,4,2,4,2,2,2,3,3
916,male,16,25000,4700 TO 4960: Sales and Related Workers,20000,180,5,10,1,1,1,14,16,70000,23,27,33,13,40,68,23,23,21,16,82.189,2,2,4,2,4,1,2,4,4,4,1,1,4,1,3,1,1,4,3,3
920,male,16,22000,4700 TO 4960: Sales and Related Workers,120000,155,5,9,1,1,1,12,12,17000,20,27,33,12,49,65,16,24,16,14,86.877,1,1,4,1,4,1,1,4,4,4,1,1,3,1,3,1,2,3,3,3
921,male,14,18000,9000 TO 9750: Transportation and Material Moving Workers,65000,270,5,10,1,1,1,12,12,17000,15,9,15,2,24,24,16,6,12,12,7.983,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
922,male,12,59387,"10 TO 430: Executive, Administrative and Managerial Occupations",90000,285,6,4,1,1,1,10,11,21000,19,17,28,14,45,37,18,15,12,14,55.885,1,1,4,1,4,1,3,3,3,3,1,1,4,1,4,1,1,4,4,4
929,male,12,14600,"7000 TO 7620: Installation, Maintenance and Repairs Workers",42000,250,6,1,1,1,1,12,12,20000,20,21,28,14,32,33,24,13,18,18,75.258,1,1,4,1,4,2,2,4,4,4,2,2,3,2,3,2,2,3,3,3
932,female,12,6000,"1300 TO 1560: Engineers, Architects, Surveyers, Engineering and Related Technicians",30000,150,5,4,0,1,1,12,12,11601,16,6,23,13,28,31,11,7,8,8,26.769,1,1,4,2,4,2,4,1,4,4,2,2,3,2,3,2,3,2,2,3
935,female,12,0,4000 TO 4160: Food Preparation and Serving Related Occupations,9800,200,5,4,1,1,1,12,12,25000,16,14,25,13,36,59,12,11,10,10,34.62,1,1,4,1,4,1,1,1,1,1,2,1,4,2,4,2,2,3,3,4
936,female,15,15000,5000 TO 5930: Office and Administrative Support Workers,15000,145,5,3,1,1,1,12,12,25000,19,15,26,14,47,83,13,18,13,8,58.404,2,1,4,2,4,2,2,4,4,4,1,1,4,1,4,1,1,4,3,4
937,male,14,15000,3700 TO 3950: Protective Service Occupations,75000,140,5,5,1,1,1,12,12,25000,19,22,29,14,48,71,20,21,20,16,84.974,1,1,4,1,4,2,2,4,4,4,1,1,4,1,4,1,1,4,4,4
938,male,12,21000,7700 TO 7750: Production and Operating Workers,38500,155,5,7,0,1,1,12,12,25000,13,11,23,9,28,22,20,7,14,12,21.712,1,2,3,2,3,2,2,2,3,4,1,2,4,2,4,2,2,2,3,4
941,male,13,-2,1000 TO 1240: Mathematical and Computer Scientists,80000,225,6,2,1,1,1,12,12,35000,15,16,28,11,34,53,18,18,13,13,44.224,2,2,3,2,3,2,2,3,3,3,1,1,3,1,3,1,1,3,3,3
942,female,12,21000,4500 TO 4650: Personal Care and Service Workers,43000,155,5,9,1,1,1,12,12,15000,14,20,24,13,37,71,10,15,12,9,55.978,1,1,4,1,1,2,2,3,1,1,1,1,4,2,4,2,2,3,4,4
944,male,18,11000,"2400 TO 2550: Education, Training and Library Workers",54000,165,5,8,1,1,1,12,12,6000,23,30,35,14,50,80,21,24,21,15,97.299,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,1,1,4,4,4
945,male,16,21100,"2000 TO 2060: Counselors, Sociala and Religious Workers",37300,225,5,10,0,1,1,12,12,20000,16,17,28,14,30,46,18,13,21,17,51.523,2,2,3,2,3,2,2,3,2,3,1,1,4,2,3,2,2,2,3,3
947,male,13,34000,6200 TO 6940: Construction Trade and Extraction Workers,64000,183,5,10,1,1,1,10,12,17000,15,27,33,13,48,51,23,22,24,18,77.263,1,1,4,2,4,1,2,3,3,4,1,1,3,2,3,2,2,3,3,3
949,female,12,13000,500 TO 950: Management Related Occupations,70000,145,5,3,1,1,1,12,11,21000,18,16,26,12,31,39,11,19,13,7,64.067,2,2,4,2,4,1,1,4,4,4,2,2,3,2,3,2,2,3,3,3
950,female,12,14000,5000 TO 5930: Office and Administrative Support Workers,30000,170,5,3,1,1,1,12,11,21000,22,24,33,14,36,59,16,22,15,8,91.63,1,1,4,1,4,1,1,4,4,4,2,2,4,2,4,2,2,2,3,3
951,male,12,59387,6200 TO 6940: Construction Trade and Extraction Workers,72000,190,5,10,0,0,0,12,12,18000,14,11,24,12,32,30,18,16,13,9,52.109,2,2,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2,3,3,3
952,female,12,15000,4200 TO 4250: Cleaning and Building Service Occupations,23600,148,5,4,0,0,1,12,12,18000,18,24,19,12,47,61,10,20,10,12,63.71,1,1,4,1,4,1,2,3,3,4,1,1,4,1,4,1,1,3,4,3
955,male,12,28000,"7900 TO 8960: Setters, Operators and Tenders",40000,195,6,1,1,1,1,12,12,25000,24,18,31,10,46,53,24,14,21,16,45.546,1,1,3,2,3,2,2,3,3,3,1,1,4,2,3,2,2,2,2,2
956,male,13,14000,9000 TO 9750: Transportation and Material Moving Workers,15000,209,6,0,1,1,1,12,12,25000,19,14,25,13,46,53,15,10,11,14,55.543,2,2,3,2,3,2,2,3,3,3,1,1,4,1,2,3,3,2,2,2
958,male,12,30000,"10 TO 430: Executive, Administrative and Managerial Occupations",35000,185,6,2,1,1,0,8,12,45000,16,24,29,7,44,45,21,9,23,17,41.439,1,1,4,2,4,2,1,3,4,4,2,2,3,2,3,2,2,2,2,3
959,male,14,20000,4700 TO 4960: Sales and Related Workers,170247,190,6,3,1,1,0,15,16,75001,20,30,32,15,39,54,25,24,21,16,96.442,1,1,4,1,4,1,2,3,3,3,1,1,4,1,4,1,2,3,3,3
960,male,15,59387,"10 TO 430: Executive, Administrative and Managerial Occupations",150000,195,6,0,1,1,0,15,16,75001,23,28,32,15,34,54,24,20,24,18,88.979,2,2,3,2,3,2,2,3,3,3,1,1,4,1,3,2,2,3,3,3
961,male,16,18000,"10 TO 430: Executive, Administrative and Managerial Occupations",140000,260,5,11,1,1,0,15,16,75001,21,25,32,15,39,59,23,21,20,19,88.914,2,1,4,2,3,2,2,2,3,3,1,1,4,2,4,2,2,3,3,3
962,female,14,20000,3000 TO 3260: Health Diagnosing and Treating Practitioners,45500,145,5,2,1,0,1,12,9,75001,19,18,34,13,29,54,15,12,17,15,67.25,1,1,4,1,4,1,1,4,4,4,1,2,4,1,4,1,1,4,4,4
963,female,12,25000,4700 TO 4960: Sales and Related Workers,65000,136,5,6,1,0,1,12,9,75001,12,14,30,11,28,20,16,13,15,10,51.978,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
964,female,12,12000,3700 TO 3950: Protective Service Occupations,48000,120,5,4,1,0,1,12,9,75001,9,14,19,8,35,57,10,7,9,5,28.308,2,2,3,2,3,2,2,3,3,3,2,2,4,2,3,2,2,3,2,2
967,female,12,20000,"10 TO 430: Executive, Administrative and Managerial Occupations",56000,118,5,0,1,0,1,12,10,15000,10,12,13,4,26,36,8,11,7,8,17.834,1,1,3,2,3,1,1,4,4,4,1,2,4,2,4,2,1,3,4,4
968,male,12,30000,"10 TO 430: Executive, Administrative and Managerial Occupations",65000,225,5,10,1,1,1,8,10,20000,20,23,23,11,33,44,23,11,17,16,43.365,2,2,3,2,4,2,2,3,3,3,1,1,3,1,3,2,2,3,3,3
969,female,12,15000,5000 TO 5930: Office and Administrative Support Workers,31000,178,5,5,1,1,1,12,12,33000,22,19,31,13,36,24,16,9,12,3,44.379,2,2,4,2,4,2,2,3,3,3,2,2,3,2,3,2,2,3,2,3
970,male,12,22000,"10 TO 430: Executive, Administrative and Managerial Occupations",110000,175,5,11,1,1,1,12,12,33000,21,21,32,12,31,20,23,10,21,16,57.553,1,2,4,1,4,2,2,4,4,4,1,1,4,1,4,2,2,4,4,4
971,female,12,15400,"10 TO 430: Executive, Administrative and Managerial Occupations",3000,142,5,9,1,1,1,12,12,33000,16,14,31,10,39,60,12,14,11,9,53.275,1,1,4,2,4,2,2,3,2,3,2,2,4,2,4,1,2,4,4,4
972,female,12,7000,5000 TO 5930: Office and Administrative Support Workers,38000,180,5,6,1,1,1,12,12,33000,19,15,30,12,31,48,17,11,14,14,57.315,1,1,4,1,4,1,1,4,4,4,2,1,4,1,4,2,1,4,4,4
973,male,12,17000,"7900 TO 8960: Setters, Operators and Tenders",42000,178,5,10,1,1,1,12,12,21000,21,23,26,11,43,58,23,19,23,15,65.073,2,3,3,2,3,2,2,2,3,4,2,2,3,1,3,2,2,2,2,3
974,female,20,16700,500 TO 950: Management Related Occupations,55000,149,5,9,0,1,0,12,12,18000,20,19,32,11,37,71,13,21,13,11,66.668,1,1,4,1,4,2,2,3,3,3,1,1,4,1,4,1,1,4,4,4
976,female,18,15000,"2000 TO 2060: Counselors, Sociala and Religious Workers",51000,130,5,10,0,1,1,11,12,45000,19,27,33,11,39,63,16,21,20,13,62.466,2,2,2,4,2,2,2,2,3,3,2,2,1,1,3,2,2,3,3,3
990,male,12,17000,6200 TO 6940: Construction Trade and Extraction Workers,39000,195,6,2,1,1,1,12,16,7010,17,25,30,10,36,51,17,17,13,11,60.136,1,1,4,1,4,1,1,3,3,4,2,2,3,2,4,2,2,3,3,3
996,male,12,13000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",60000,190,6,0,1,1,1,12,15,17000,16,12,24,8,36,63,21,11,13,16,30.891,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
997,male,12,9000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",46000,180,5,10,1,1,1,12,12,24900,15,18,31,14,23,38,12,13,14,10,78.723,2,2,4,2,3,2,2,4,3,4,1,1,4,1,4,1,1,4,3,4
999,female,16,15000,4500 TO 4650: Personal Care and Service Workers,27000,160,5,5,0,1,1,10,8,14144,16,20,25,13,42,38,8,17,12,10,67.602,1,1,4,1,4,1,1,4,2,4,1,1,4,1,4,1,1,4,4,4
1003,male,16,3500,5000 TO 5930: Office and Administrative Support Workers,70000,250,6,3,1,1,1,12,16,15000,16,16,30,11,41,46,8,15,12,11,61.145,1,1,4,1,4,1,1,4,4,4,2,1,4,2,4,2,2,3,4,4
1004,female,14,20000,3300 TO 3650: Health Care Technical and Support Occupations,56000,145,5,4,1,1,1,12,11,7500,13,11,19,8,39,45,11,12,7,7,27.973,2,1,4,2,4,2,1,4,4,4,2,2,3,2,2,2,2,3,2,3
1007,male,12,59387,4700 TO 4960: Sales and Related Workers,125000,185,6,1,1,1,0,12,11,22000,18,23,32,12,34,54,14,11,16,14,47.45,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
1011,male,12,14600,"7900 TO 8960: Setters, Operators and Tenders",45000,195,5,11,1,1,1,12,12,23000,16,23,19,5,39,38,16,11,19,10,34.339,1,2,3,2,3,2,2,3,3,3,1,1,3,2,3,1,2,3,3,3
1013,male,14,0,7700 TO 7750: Production and Operating Workers,25000,180,5,11,0,0,1,9,8,25000,21,25,29,15,33,51,18,24,21,16,91.199,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
1019,female,17,2000,4700 TO 4960: Sales and Related Workers,29000,170,5,4,1,1,1,16,16,50000,20,29,33,15,50,49,13,25,18,14,100,1,1,3,3,4,2,2,4,3,4,1,1,3,2,4,2,2,4,1,1
1020,female,17,25000,3000 TO 3260: Health Diagnosing and Treating Practitioners,84000,200,5,7,1,1,1,16,16,50000,23,30,34,14,49,76,14,25,21,16,98.236,1,1,4,1,4,1,2,2,2,4,2,2,4,1,4,2,2,3,3,3
1029,female,12,3250,9000 TO 9750: Transportation and Material Moving Workers,17000,165,5,4,0,1,0,14,11,4572,6,12,14,9,31,54,9,9,13,8,26.365,2,2,3,2,3,2,2,3,3,3,2,1,4,2,4,1,2,4,3,1
1034,female,7,4992,3300 TO 3650: Health Care Technical and Support Occupations,23000,260,5,7,0,0,1,9,8,4080,9,12,10,6,29,39,8,7,9,6,12.727,2,2,3,2,3,2,2,3,4,1,2,2,3,2,3,2,2,3,3,3
1038,female,14,13000,5000 TO 5930: Office and Administrative Support Workers,24000,160,5,0,1,1,1,12,14,20000,19,19,25,11,29,40,9,21,13,10,64.065,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,1,2,4,4,4
1039,female,15,6000,"10 TO 430: Executive, Administrative and Managerial Occupations",44000,135,5,7,1,1,1,13,12,16200,16,21,29,13,36,44,11,22,12,10,71.23,1,1,3,2,3,2,2,3,3,3,2,2,4,2,3,2,2,4,3,4
1043,male,12,0,6200 TO 6940: Construction Trade and Extraction Workers,16000,185,6,0,1,1,1,12,16,6850,6,7,9,5,1,11,9,5,5,7,3.732,1,1,4,1,3,1,2,3,4,4,2,2,3,2,3,2,2,2,3,3
1044,male,12,1200,"7900 TO 8960: Setters, Operators and Tenders",25000,155,5,5,0,1,1,12,9,20000,9,7,9,4,23,27,9,7,12,7,4.871,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,3,3
1046,male,19,4000,4700 TO 4960: Sales and Related Workers,63,160,5,11,1,1,1,16,12,30000,25,19,27,14,35,51,21,14,15,16,70.337,1,1,4,1,1,1,2,2,2,4,1,1,4,2,3,1,1,2,3,3
1048,female,12,1000,4700 TO 4960: Sales and Related Workers,13000,145,5,3,1,1,1,11,11,11076,13,4,17,5,23,37,11,5,10,7,3.156,3,2,3,3,2,2,2,2,3,2,2,2,3,2,3,2,4,2,3,3
1049,female,18,9000,2200 TO 2340: Teachers,51000,160,5,4,1,1,0,12,14,29000,18,28,30,15,32,52,16,17,17,13,84.635,1,1,4,1,4,1,1,3,4,4,2,2,3,2,3,2,2,3,3,3
1051,male,18,18540,1600 TO 1760: Physical Scientists,67000,205,6,1,1,1,1,8,12,25000,24,29,34,11,44,51,22,25,18,16,87.785,2,2,3,2,3,2,2,2,3,3,2,2,4,1,3,2,2,3,3,3
1052,male,18,14000,"10 TO 430: Executive, Administrative and Managerial Occupations",183467,205,6,1,1,1,0,12,12,30000,22,27,31,14,50,64,19,24,14,14,89.341,1,1,4,1,4,1,1,3,3,4,1,2,4,2,4,2,2,4,4,4
1053,male,16,9000,"10 TO 430: Executive, Administrative and Managerial Occupations",394058,190,6,0,1,1,0,12,12,30000,16,22,26,13,43,65,19,17,15,10,73.413,2,2,4,2,4,2,2,4,4,3,1,1,4,1,4,1,1,3,4,4
1056,female,12,5000,"7900 TO 8960: Setters, Operators and Tenders",24000,125,5,3,0,1,1,11,12,10205,15,6,17,11,28,53,7,8,8,7,15.555,1,1,3,1,3,1,1,3,3,3,1,1,3,1,3,1,1,3,3,3
1058,male,14,10000,500 TO 950: Management Related Occupations,47000,198,6,0,1,0,1,13,8,11000,13,11,25,10,38,37,9,7,10,7,34.012,1,1,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
1060,male,12,17000,6200 TO 6940: Construction Trade and Extraction Workers,12000,275,6,1,1,1,1,10,14,24000,18,15,30,10,33,35,22,8,12,15,33.045,1,1,4,1,3,1,2,3,3,3,2,2,3,2,3,2,2,3,3,3
1063,female,12,10000,5000 TO 5930: Office and Administrative Support Workers,20518,246,5,9,0,1,0,10,8,1963,13,19,29,12,26,52,13,6,11,10,45.58,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,2,2,2,2,3
1068,male,9,0,4200 TO 4250: Cleaning and Building Service Occupations,12000,165,5,11,1,1,0,8,11,3500,7,7,7,2,21,15,2,6,10,5,0.958,2,2,3,2,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3
1071,female,12,0,9000 TO 9750: Transportation and Material Moving Workers,12649,189,5,3,0,1,1,10,10,19037,8,9,8,10,16,37,8,5,6,7,8.758,1,1,4,2,3,2,2,3,3,3,2,2,2,3,3,2,2,3,3,3
1072,male,18,21000,500 TO 950: Management Related Occupations,65000,215,5,10,0,0,0,16,18,18000,15,14,19,9,20,29,8,15,9,6,35.78,2,2,4,1,4,1,2,4,4,4,1,1,4,1,4,2,1,4,2,4
1076,female,14,12000,500 TO 950: Management Related Occupations,40000,125,5,0,0,1,1,12,12,3000,13,8,21,7,35,11,5,11,6,8,43.456,1,2,3,2,4,2,2,3,3,3,2,1,4,1,4,2,2,4,3,3
1078,female,16,20800,"1900 TO 1960: Life, Physical and Social Science Technicians",61000,225,5,10,1,1,1,12,12,14000,21,20,35,15,49,70,17,22,14,16,88.023,1,1,4,1,4,2,2,4,4,4,1,1,4,1,4,2,2,3,3,4
1080,female,12,14000,5000 TO 5930: Office and Administrative Support Workers,7500,150,5,5,1,1,1,10,8,40000,17,19,23,13,34,52,13,19,17,10,68.497,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,3,3
1081,male,14,17000,5000 TO 5930: Office and Administrative Support Workers,38262,280,5,10,1,1,1,16,16,51000,20,19,30,14,31,35,18,21,20,14,76.163,2,2,3,2,3,2,2,4,3,4,1,1,4,1,4,4,1,4,4,4
1082,female,16,59387,5000 TO 5930: Office and Administrative Support Workers,70000,185,5,2,1,1,1,16,16,51000,18,25,31,9,39,50,14,22,19,13,71.597,2,2,4,2,3,2,2,4,3,3,1,1,4,1,4,1,2,4,4,4
1085,male,12,17000,"7900 TO 8960: Setters, Operators and Tenders",36000,218,5,11,1,1,0,8,12,25000,21,16,34,13,29,43,22,10,21,16,65.317,1,1,4,1,3,2,2,3,3,3,1,1,4,2,3,2,2,2,3,3
1086,female,18,10000,2200 TO 2340: Teachers,67500,125,5,5,1,1,1,16,18,39000,19,15,35,14,27,48,11,16,12,11,77.119,1,1,4,1,4,1,1,4,3,4,1,1,4,2,4,2,2,3,2,3
1089,male,9,9000,6200 TO 6940: Construction Trade and Extraction Workers,35000,193,5,7,0,1,1,8,10,13000,15,4,12,5,27,24,15,4,12,7,1.672,2,2,3,2,3,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3
1090,female,9,1800,4700 TO 4960: Sales and Related Workers,1300,120,5,2,1,1,1,10,9,13000,13,3,20,7,39,55,13,7,9,9,12.621,2,1,3,1,1,1,1,1,3,3,1,1,3,1,3,1,1,3,3,3
1091,male,10,12500,"7000 TO 7620: Installation, Maintenance and Repairs Workers",24000,240,5,11,0,1,0,8,5,17000,18,13,33,13,22,38,18,9,20,13,51.083,1,1,3,1,3,1,1,3,3,3,1,1,4,1,4,1,1,4,4,4
1092,male,12,6000,4700 TO 4960: Sales and Related Workers,15000,170,5,9,0,1,0,8,5,17000,16,13,33,12,28,19,12,15,7,7,59.139,1,1,3,1,4,1,2,2,4,4,1,1,4,1,4,1,2,3,4,4
1093,female,16,21000,"10 TO 430: Executive, Administrative and Managerial Occupations",35000,150,5,4,1,1,1,12,18,50000,17,16,32,12,46,69,9,10,14,8,50.614,1,1,4,1,4,1,2,4,4,4,1,2,3,2,3,2,2,3,2,3
1096,male,12,15000,9000 TO 9750: Transportation and Material Moving Workers,48000,230,6,0,1,1,1,12,7,10400,12,19,14,1,29,17,19,9,15,12,15.428,2,1,4,1,4,1,1,4,4,4,2,2,3,2,3,2,2,3,3,3
1097,male,14,10000,1000 TO 1240: Mathematical and Computer Scientists,59000,220,5,10,1,1,1,16,16,37000,24,28,34,14,28,27,14,24,19,15,97.926,2,2,3,2,3,2,2,3,3,3,1,1,3,2,3,2,3,3,2,3
1098,male,20,32700,"10 TO 430: Executive, Administrative and Managerial Occupations",108000,190,5,10,1,1,1,16,16,37000,24,30,34,15,27,37,17,24,24,15,98.356,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,2,4,3,4
1101,female,19,0,"",50000,140,5,8,1,1,1,12,14,23000,22,28,32,15,50,56,14,20,22,15,89.998,1,1,3,1,1,2,2,3,3,3,1,1,4,1,1,1,1,2,3,3
1102,male,15,59387,"",429,185,6,2,0,1,1,14,16,40000,23,12,33,13,29,45,22,11,22,18,44.711,2,2,3,2,3,2,2,3,2,2,2,2,3,2,3,2,2,3,3,3
1104,female,15,27000,4700 TO 4960: Sales and Related Workers,90000,125,5,4,0,1,1,12,18,26000,18,23,30,13,50,59,12,16,18,15,55.829,2,2,2,2,2,3,3,2,2,2,1,1,4,2,4,2,2,2,3,4
1105,female,18,2114,3000 TO 3260: Health Diagnosing and Treating Practitioners,61000,160,5,8,1,1,1,12,19,26000,20,21,31,12,42,54,18,16,15,16,65.903,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
1106,female,16,18000,2200 TO 2340: Teachers,35000,140,5,10,1,1,1,12,18,26000,20,20,35,13,49,26,16,19,15,15,87.203,1,1,4,1,1,2,1,3,2,2,1,1,3,1,4,2,2,2,2,2
1111,female,12,10000,5000 TO 5930: Office and Administrative Support Workers,44000,143,5,2,0,0,1,9,9,15765,15,20,26,13,45,28,10,12,11,10,44.401,1,2,4,2,2,2,2,4,4,4,1,2,3,1,4,2,2,3,3,3
1114,female,12,13000,5000 TO 5930: Office and Administrative Support Workers,50000,213,5,5,0,1,1,9,12,11000,10,16,24,9,27,37,6,8,12,12,31.751,2,2,3,2,3,2,2,2,3,3,1,1,3,1,4,1,2,4,4,4
1116,female,14,16000,5000 TO 5930: Office and Administrative Support Workers,30000,175,5,7,0,0,0,10,10,4300,11,12,23,10,39,54,11,11,7,5,31.89,1,1,3,1,4,1,2,3,3,3,1,1,4,1,1,2,2,4,4,4
1118,female,12,10000,4700 TO 4960: Sales and Related Workers,80000,172,5,3,0,0,0,6,6,2000,6,10,22,10,49,60,8,7,7,5,22.955,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,3,4,3,4
1122,male,16,22000,500 TO 950: Management Related Occupations,37000,260,6,1,0,1,1,12,17,9350,25,29,35,15,34,51,24,25,21,18,99.147,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
1130,female,12,16800,"2400 TO 2550: Education, Training and Library Workers",5000,141,5,2,1,0,1,8,9,14030,20,13,34,13,23,43,13,6,10,15,50.405,1,1,3,1,3,1,1,4,4,4,1,1,4,1,4,1,1,3,3,4
1134,male,11,3000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",53000,210,6,1,1,1,0,13,12,25000,23,19,33,10,31,36,15,16,13,13,65.998,2,2,3,2,3,2,2,3,3,3,1,1,4,2,3,1,2,2,3,3
1138,male,16,0,9000 TO 9750: Transportation and Material Moving Workers,58000,182,5,10,1,1,1,14,14,6400,19,26,31,12,45,60,21,13,22,15,58.192,1,1,4,1,4,1,1,4,4,4,1,1,4,1,3,1,1,3,3,3
1139,female,16,21000,"10 TO 430: Executive, Administrative and Managerial Occupations",60000,155,5,6,1,1,1,13,20,50000,16,17,34,13,37,51,14,17,13,11,72.569,1,1,3,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
1141,female,12,16000,3300 TO 3650: Health Care Technical and Support Occupations,30000,180,5,4,1,1,1,12,15,75001,10,6,27,11,42,53,11,4,9,6,17.614,1,1,4,2,1,1,1,1,3,4,1,1,4,1,4,2,1,2,3,3
1143,male,16,35000,"10 TO 430: Executive, Administrative and Managerial Occupations",180124,167,5,10,1,1,1,16,20,60000,20,25,28,15,50,66,12,23,18,13,83.528,1,1,4,1,4,1,1,4,4,4,1,1,4,2,4,1,1,4,3,4
1144,male,16,400,4700 TO 4960: Sales and Related Workers,248713,185,6,0,1,1,1,16,20,60000,15,26,27,14,48,60,6,22,7,10,79.836,1,1,4,2,4,1,2,2,3,3,1,1,4,1,4,2,2,2,3,3
1147,female,12,12000,5000 TO 5930: Office and Administrative Support Workers,6500,170,5,6,1,0,0,14,16,25000,18,21,27,13,35,49,12,15,15,6,58.247,1,1,4,2,3,2,3,2,2,3,1,2,3,2,3,2,2,2,3,3
1148,male,11,4800,4700 TO 4960: Sales and Related Workers,31000,146,5,7,0,1,0,6,9,5532,13,3,16,5,21,31,12,5,9,8,2.509,2,2,3,2,3,2,2,3,3,3,2,2,3,1,3,1,3,2,2,3
1153,male,10,2600,9000 TO 9750: Transportation and Material Moving Workers,2300,162,5,9,0,1,0,12,10,20000,9,7,17,3,14,33,5,4,8,7,4.843,1,1,4,1,4,1,1,3,3,4,1,1,4,2,3,3,2,1,2,1
1155,female,14,24500,500 TO 950: Management Related Occupations,52000,248,5,0,1,1,1,12,12,16000,9,10,17,9,45,59,6,11,12,6,25.334,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
1156,male,12,14000,4000 TO 4160: Food Preparation and Serving Related Occupations,25000,270,6,1,0,1,1,12,14,20000,12,20,27,13,33,47,12,12,14,12,39.245,1,1,4,2,4,1,2,4,4,4,1,1,4,2,4,1,1,4,4,4
1157,female,16,17000,3700 TO 3950: Protective Service Occupations,63000,148,5,3,0,1,1,11,16,10300,15,22,30,13,31,40,8,16,9,9,70.82,1,1,3,1,4,1,1,3,4,4,1,1,4,1,4,1,1,4,4,4
1158,female,14,20000,5000 TO 5930: Office and Administrative Support Workers,31000,175,5,8,0,1,1,11,4,25000,13,12,20,6,49,68,4,13,13,8,27.018,1,2,4,2,4,2,2,4,4,4,1,2,4,1,3,1,1,3,2,4
1159,female,15,15000,500 TO 950: Management Related Occupations,30000,130,5,3,0,1,0,11,4,25000,11,16,19,12,40,38,8,15,9,4,45.679,1,1,4,2,3,2,2,2,4,4,1,1,4,1,4,2,2,4,3,4
1160,female,14,13000,4500 TO 4650: Personal Care and Service Workers,20000,139,5,3,0,1,1,11,4,25000,9,8,22,9,31,36,8,14,6,4,34.867,2,1,4,4,4,4,4,1,4,4,1,1,4,1,4,2,2,2,3,3
1163,female,14,2880,"",25000,185,5,3,0,0,0,12,10,100,13,11,20,10,24,32,14,11,10,12,20.274,1,1,3,1,4,1,1,3,3,3,2,1,2,3,4,3,3,1,1,1
1166,female,13,3000,"2000 TO 2060: Counselors, Sociala and Religious Workers",20609,186,5,0,0,1,1,12,14,16000,19,10,29,12,23,39,10,15,7,10,42.776,1,1,4,2,4,2,2,4,4,4,1,1,4,1,4,1,2,4,4,4
1169,male,12,20000,4200 TO 4250: Cleaning and Building Service Occupations,130000,200,5,11,0,1,1,12,14,10000,21,23,32,11,25,38,23,14,19,17,53.364,2,2,4,1,4,2,1,4,2,3,2,2,3,2,3,2,2,3,2,3
